MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
5.1345,0.56249,0.45527,0.22209,1.9951,1,0.38296
3.846,0.18649,0.56162,0.094443,3.4844,2,0.38598
27.476,0.2511,0.25168,0.072338,6.649,3,0.31912
6.2196,0.16832,0.28865,0.077708,7.6992,4,0.35826
5.3606,0.2987,1.5183,0.4739,2.8773,5,0.39388
10.885,2.2044,0.46006,0.022498,835.16,6,0.46218
14.345,0.099007,1.3001,0.34595,4.2576e-10,7,0.37687
20.883,1.0715,0.11306,0.0017398,0.54758,8,0.22919
3.483,0.063678,1.7129,1.0635,299700.0,9,0.38273
4.8144,0.025993,1.7484,0.37556,5.1921,10,0.37671
26.127,0.2862,1.1253,0.014172,79.907,11,0.38322
19.051,2.2692,0.28324,0.041523,0.41873,12,0.36582
11.521,0.35943,4.9752,0.37804,0.30324,13,0.32004
8.8657,2.678,1.1573,0.53022,47852.0,14,0.39766
3.5203,0.16531,0.35255,0.11596,1122100.0,15,0.39547
10.924,0.60301,2.4344,0.3796,11276.0,16,0.40406
21.798,1.7085,0.4445,0.14709,4.8922,17,0.39015
3.186,0.012968,1.8729,0.25961,1.4124e-06,18,0.36166
7.8557,0.71734,4.578,0.64944,1.4873,19,0.34441
3.3276,0.065854,0.45828,0.028314,1.9195,20,0.36157
8.6785,1.6359,0.55518,0.22581,36.651,21,0.44463
8.7552,1.72,0.22461,0.052848,2.487e-07,22,0.35232
5.8768,0.8123,1.7517,0.11061,4.6105e-09,23,0.41501
8.7184,2.3194,0.14847,0.0062348,6.436,24,0.32571
12.876,2.0944,0.12585,0.00052762,9.6188e-06,25,0.27163
11.346,1.0174,0.41691,0.17066,1964800000.0,26,0.4266
11.273,0.1329,2.7034,0.60264,0.0032179,27,0.3601
23.626,0.78122,1.1463,0.28933,5.5426,28,0.38205
28.563,0.27588,0.11798,0.0047489,0.16441,29,0.20579
25.832,1.1022,2.4664,0.1644,3.4588,30,0.35581
3.0672,0.0010074,7.4819,0.26322,0.31113,31,0.24541
11.202,0.64389,9.6498,0.11034,0.2212,32,0.23766
4.3009,0.11879,6.4697,0.77741,0.10064,33,0.27892
5.7701,0.14634,6.7553,0.69959,0.1135,34,0.27846
14.029,2.264,0.80046,0.24827,0.0011246,35,0.43353
5.7534,0.55769,3.5823,0.74927,0.68102,36,0.3674
13.035,2.5155,0.68613,0.2706,12118.0,37,0.45436
7.1179,0.89265,7.1927,0.16933,2.1402e-05,38,0.29929
9.8998,2.1853,2.1436,0.29483,177280.0,39,0.45674
7.7954,1.503,0.51058,0.069634,1.0929e-10,40,0.43017
4.367,0.47324,2.5456,0.12598,0.77784,41,0.39421
6.1255,0.79182,1.6851,0.443,2.3616e-10,42,0.41306
9.8329,0.52119,0.71255,0.13499,93701000.0,43,0.41411
12.773,3.1288,1.8769,0.20535,1305.8,44,0.45388
3.753,0.16938,0.52356,0.18744,5542.4,45,0.41418
29.735,0.029776,0.24707,0.00147,0.2312,46,0.29786
17.542,1.065,0.53323,0.21888,1.6837e-08,47,0.36616
28.619,0.079207,1.5602,0.11863,5787.5,48,0.37798
10.723,1.2534,0.91805,0.52292,429170000.0,49,0.43248
8.6618,0.55125,0.10414,0.00030347,7.7072e-08,50,0.23398
26.288,0.26803,0.15859,0.0045886,9.0527e-05,51,0.24309
7.5321,1.2632,0.23703,0.039877,5.1624,52,0.3705
8.5658,1.444,0.34311,0.0024759,0.22471,53,0.39765
5.1871,0.0914,2.1167,1.0993,2.9049,54,0.36977
6.7503,0.10547,7.9895,0.45524,427690000.0,55,0.37257
12.81,0.83135,2.0487,0.23227,4.1526e-06,56,0.39092
6.336,0.56119,0.19269,0.022515,0.20778,57,0.31572
25.062,0.52542,0.41009,0.18773,0.95307,58,0.32832
